phenotype_name	source_concept_id	standard_concept_id	source_name	source_vocabulary	source_domain	standard_name	standard_vocabulary	standard_domain
cardiac surgery	2106965	2106965	Transmyocardial laser revascularization, by thoracotomy; performed at the time of other open cardiac procedure(s) (List separately in addition to code for primary procedure)	CPT4	Procedure	Transmyocardial laser revascularization, by thoracotomy; performed at the time of other open cardiac procedure(s) (List separately in addition to code for primary procedure)	CPT4	Procedure
cardiac surgery	2107066	2107066	Operative tissue ablation and reconstruction of atria, performed at the time of other cardiac procedure(s), limited (eg, modified maze procedure) (List separately in addition to code for primary procedure)	CPT4	Procedure	Operative tissue ablation and reconstruction of atria, performed at the time of other cardiac procedure(s), limited (eg, modified maze procedure) (List separately in addition to code for primary procedure)	CPT4	Procedure
cardiac surgery	2107067	2107067	Operative tissue ablation and reconstruction of atria, performed at the time of other cardiac procedure(s), extensive (eg, maze procedure), without cardiopulmonary bypass (List separately in addition to code for primary procedure)	CPT4	Procedure	Operative tissue ablation and reconstruction of atria, performed at the time of other cardiac procedure(s), extensive (eg, maze procedure), without cardiopulmonary bypass (List separately in addition to code for primary procedure)	CPT4	Procedure
cardiac surgery	2107068	2107068	Operative tissue ablation and reconstruction of atria, performed at the time of other cardiac procedure(s), extensive (eg, maze procedure), with cardiopulmonary bypass (List separately in addition to code for primary procedure)	CPT4	Procedure	Operative tissue ablation and reconstruction of atria, performed at the time of other cardiac procedure(s), extensive (eg, maze procedure), with cardiopulmonary bypass (List separately in addition to code for primary procedure)	CPT4	Procedure
cardiac surgery	2107095	2107095	Repair of cardiac wound; without bypass	CPT4	Procedure	Repair of cardiac wound; without bypass	CPT4	Procedure
cardiac surgery	2107096	2107096	Repair of cardiac wound; with cardiopulmonary bypass	CPT4	Procedure	Repair of cardiac wound; with cardiopulmonary bypass	CPT4	Procedure
cardiac surgery	2107098	2107098	Cardiotomy, exploratory (includes removal of foreign body, atrial or ventricular thrombus); without bypass	CPT4	Procedure	Cardiotomy, exploratory (includes removal of foreign body, atrial or ventricular thrombus); without bypass	CPT4	Procedure
cardiac surgery	2107099	2107099	Cardiotomy, exploratory (includes removal of foreign body, atrial or ventricular thrombus); with cardiopulmonary bypass	CPT4	Procedure	Cardiotomy, exploratory (includes removal of foreign body, atrial or ventricular thrombus); with cardiopulmonary bypass	CPT4	Procedure
cardiac surgery	2107117	2107117	Repair of left lower heart valve on heart-lung machine, open procedure	CPT4	Procedure	Repair of left lower heart valve on heart-lung machine, open procedure	CPT4	Procedure
cardiac surgery	2107118	2107118	Open valvuloplasty of aortic valve with inflow occlusion	CPT4	Procedure	Open valvuloplasty of aortic valve with inflow occlusion	CPT4	Procedure
cardiac surgery	2107119	2107119	Valvuloplasty, aortic valve; using transventricular dilation, with cardiopulmonary bypass	CPT4	Procedure	Valvuloplasty, aortic valve; using transventricular dilation, with cardiopulmonary bypass	CPT4	Procedure
cardiac surgery	2107120	2107120	Construction of apical-aortic conduit	CPT4	Procedure	Construction of apical-aortic conduit	CPT4	Procedure
cardiac surgery	2107121	2107121	Replacement, aortic valve, open, with cardiopulmonary bypass; with prosthetic valve other than homograft or stentless valve	CPT4	Procedure	Replacement, aortic valve, open, with cardiopulmonary bypass; with prosthetic valve other than homograft or stentless valve	CPT4	Procedure
cardiac surgery	2107132	2107132	Replacement, aortic valve, open, with cardiopulmonary bypass; with allograft valve (freehand)	CPT4	Procedure	Replacement, aortic valve, open, with cardiopulmonary bypass; with allograft valve (freehand)	CPT4	Procedure
cardiac surgery	2107134	2107134	Replacement, aortic valve, open, with cardiopulmonary bypass; with stentless tissue valve	CPT4	Procedure	Replacement, aortic valve, open, with cardiopulmonary bypass; with stentless tissue valve	CPT4	Procedure
cardiac surgery	2107135	2107135	Replacement, aortic valve; with aortic annulus enlargement, noncoronary sinus	CPT4	Procedure	Replacement, aortic valve; with aortic annulus enlargement, noncoronary sinus	CPT4	Procedure
cardiac surgery	2107136	2107136	Replacement, aortic valve; with transventricular aortic annulus enlargement (Konno procedure)	CPT4	Procedure	Replacement, aortic valve; with transventricular aortic annulus enlargement (Konno procedure)	CPT4	Procedure
cardiac surgery	2107137	2107137	Replacement, aortic valve; by translocation of autologous pulmonary valve with allograft replacement of pulmonary valve (Ross procedure)	CPT4	Procedure	Replacement, aortic valve; by translocation of autologous pulmonary valve with allograft replacement of pulmonary valve (Ross procedure)	CPT4	Procedure
cardiac surgery	2107139	2107139	Resection or incision of subvalvular tissue for discrete subvalvular aortic stenosis	CPT4	Procedure	Resection or incision of subvalvular tissue for discrete subvalvular aortic stenosis	CPT4	Procedure
cardiac surgery	2107140	2107140	Ventriculomyotomy (-myectomy) for idiopathic hypertrophic subaortic stenosis (eg, asymmetric septal hypertrophy)	CPT4	Procedure	Ventriculomyotomy (-myectomy) for idiopathic hypertrophic subaortic stenosis (eg, asymmetric septal hypertrophy)	CPT4	Procedure
cardiac surgery	2107153	2107153	Valvotomy, mitral valve; closed heart	CPT4	Procedure	Valvotomy, mitral valve; closed heart	CPT4	Procedure
cardiac surgery	2107154	2107154	Valvotomy, mitral valve; open heart, with cardiopulmonary bypass	CPT4	Procedure	Valvotomy, mitral valve; open heart, with cardiopulmonary bypass	CPT4	Procedure
cardiac surgery	2107155	2107155	Valvuloplasty, mitral valve, with cardiopulmonary bypass	CPT4	Procedure	Valvuloplasty, mitral valve, with cardiopulmonary bypass	CPT4	Procedure
cardiac surgery	2107156	2107156	Valvuloplasty, mitral valve, with cardiopulmonary bypass; with prosthetic ring	CPT4	Procedure	Valvuloplasty, mitral valve, with cardiopulmonary bypass; with prosthetic ring	CPT4	Procedure
cardiac surgery	2107157	2107157	Valvuloplasty, mitral valve, with cardiopulmonary bypass; radical reconstruction, with or without ring	CPT4	Procedure	Valvuloplasty, mitral valve, with cardiopulmonary bypass; radical reconstruction, with or without ring	CPT4	Procedure
cardiac surgery	2107159	2107159	Replacement, mitral valve, with cardiopulmonary bypass	CPT4	Procedure	Replacement, mitral valve, with cardiopulmonary bypass	CPT4	Procedure
cardiac surgery	2107173	2107173	Valvectomy, tricuspid valve, with cardiopulmonary bypass	CPT4	Procedure	Valvectomy, tricuspid valve, with cardiopulmonary bypass	CPT4	Procedure
cardiac surgery	2107174	2107174	Valvuloplasty, tricuspid valve; without ring insertion	CPT4	Procedure	Valvuloplasty, tricuspid valve; without ring insertion	CPT4	Procedure
cardiac surgery	2107175	2107175	Valvuloplasty, tricuspid valve; with ring insertion	CPT4	Procedure	Valvuloplasty, tricuspid valve; with ring insertion	CPT4	Procedure
cardiac surgery	2107176	2107176	Replacement, tricuspid valve, with cardiopulmonary bypass	CPT4	Procedure	Replacement, tricuspid valve, with cardiopulmonary bypass	CPT4	Procedure
cardiac surgery	2107177	2107177	Tricuspid valve repositioning and plication for Ebstein anomaly	CPT4	Procedure	Tricuspid valve repositioning and plication for Ebstein anomaly	CPT4	Procedure
cardiac surgery	2107178	2107178	Valvotomy, pulmonary valve, closed heart; transventricular	CPT4	Procedure	Valvotomy, pulmonary valve, closed heart; transventricular	CPT4	Procedure
cardiac surgery	2107179	2107179	Valvotomy, pulmonary valve, closed heart; via pulmonary artery	CPT4	Procedure	Valvotomy, pulmonary valve, closed heart; via pulmonary artery	CPT4	Procedure
cardiac surgery	2107180	2107180	Incision of valve at right lower heart chamber, open procedure	CPT4	Procedure	Incision of valve at right lower heart chamber, open procedure	CPT4	Procedure
cardiac surgery	2107181	2107181	Valvotomy, pulmonary valve, open heart, with cardiopulmonary bypass	CPT4	Procedure	Valvotomy, pulmonary valve, open heart, with cardiopulmonary bypass	CPT4	Procedure
cardiac surgery	2107192	2107192	Replacement, pulmonary valve	CPT4	Procedure	Replacement, pulmonary valve	CPT4	Procedure
cardiac surgery	2107196	2107196	Repair of coronary arteriovenous or arteriocardiac chamber fistula; with cardiopulmonary bypass	CPT4	Procedure	Repair of coronary arteriovenous or arteriocardiac chamber fistula; with cardiopulmonary bypass	CPT4	Procedure
cardiac surgery	2107197	2107197	Repair of coronary arteriovenous or arteriocardiac chamber fistula; without cardiopulmonary bypass	CPT4	Procedure	Repair of coronary arteriovenous or arteriocardiac chamber fistula; without cardiopulmonary bypass	CPT4	Procedure
cardiac surgery	2107213	2107213	Repair of anomalous (eg, intramural) aortic origin of coronary artery by unroofing or translocation	CPT4	Procedure	Repair of anomalous (eg, intramural) aortic origin of coronary artery by unroofing or translocation	CPT4	Procedure
cardiac surgery	2107250	2107250	Coronary endarterectomy, open, any method, of left anterior descending, circumflex, or right coronary artery performed in conjunction with coronary artery bypass graft procedure, each vessel (List separately in addition to primary procedure)	CPT4	Procedure	Coronary endarterectomy, open, any method, of left anterior descending, circumflex, or right coronary artery performed in conjunction with coronary artery bypass graft procedure, each vessel (List separately in addition to primary procedure)	CPT4	Procedure
cardiac surgery	2107251	2107251	Closure of atrioventricular valve (mitral or tricuspid) by suture or patch	CPT4	Procedure	Closure of atrioventricular valve (mitral or tricuspid) by suture or patch	CPT4	Procedure
cardiac surgery	2107262	2107262	Closure of semilunar valve (aortic or pulmonary) by suture or patch	CPT4	Procedure	Closure of semilunar valve (aortic or pulmonary) by suture or patch	CPT4	Procedure
cardiac surgery	2107264	2107264	Repair of complex cardiac anomaly other than pulmonary atresia with ventricular septal defect by construction or replacement of conduit from right or left ventricle to pulmonary artery	CPT4	Procedure	Repair of complex cardiac anomaly other than pulmonary atresia with ventricular septal defect by construction or replacement of conduit from right or left ventricle to pulmonary artery	CPT4	Procedure
cardiac surgery	2107265	2107265	Repair of complex cardiac anomalies (eg, single ventricle with subaortic obstruction) by surgical enlargement of ventricular septal defect	CPT4	Procedure	Repair of complex cardiac anomalies (eg, single ventricle with subaortic obstruction) by surgical enlargement of ventricular septal defect	CPT4	Procedure
cardiac surgery	2107268	2107268	Repair of complex cardiac anomalies (eg, tricuspid atresia) by closure of atrial septal defect and anastomosis of atria or vena cava to pulmonary artery (simple Fontan procedure)	CPT4	Procedure	Repair of complex cardiac anomalies (eg, tricuspid atresia) by closure of atrial septal defect and anastomosis of atria or vena cava to pulmonary artery (simple Fontan procedure)	CPT4	Procedure
cardiac surgery	2107269	2107269	Repair of complex cardiac anomalies (eg, single ventricle) by modified Fontan procedure	CPT4	Procedure	Repair of complex cardiac anomalies (eg, single ventricle) by modified Fontan procedure	CPT4	Procedure
cardiac surgery	2107270	2107270	Repair of single ventricle with aortic outflow obstruction and aortic arch hypoplasia (hypoplastic left heart syndrome) (eg, Norwood procedure)	CPT4	Procedure	Repair of single ventricle with aortic outflow obstruction and aortic arch hypoplasia (hypoplastic left heart syndrome) (eg, Norwood procedure)	CPT4	Procedure
cardiac surgery	2107271	2107271	Repair atrial septal defect, secundum, with cardiopulmonary bypass, with or without patch	CPT4	Procedure	Repair atrial septal defect, secundum, with cardiopulmonary bypass, with or without patch	CPT4	Procedure
cardiac surgery	2107283	2107283	Repair of atrial septal defect and ventricular septal defect, with direct or patch closure	CPT4	Procedure	Repair of atrial septal defect and ventricular septal defect, with direct or patch closure	CPT4	Procedure
cardiac surgery	2107284	2107284	Repair of incomplete or partial atrioventricular canal (ostium primum atrial septal defect), with or without atrioventricular valve repair	CPT4	Procedure	Repair of incomplete or partial atrioventricular canal (ostium primum atrial septal defect), with or without atrioventricular valve repair	CPT4	Procedure
cardiac surgery	2107311	2107311	Closure of aortico-left ventricular tunnel	CPT4	Procedure	Closure of aortico-left ventricular tunnel	CPT4	Procedure
cardiac surgery	2107335	2107335	Complete repair of anomalous pulmonary venous return (supracardiac, intracardiac, or infracardiac types)	CPT4	Procedure	Complete repair of anomalous pulmonary venous return (supracardiac, intracardiac, or infracardiac types)	CPT4	Procedure
cardiac surgery	2107336	2107336	Repair of cor triatriatum or supravalvular mitral ring by resection of left atrial membrane	CPT4	Procedure	Repair of cor triatriatum or supravalvular mitral ring by resection of left atrial membrane	CPT4	Procedure
cardiac surgery	2107337	2107337	Atrial septectomy or septostomy; closed heart (Blalock-Hanlon type operation)	CPT4	Procedure	Atrial septectomy or septostomy; closed heart (Blalock-Hanlon type operation)	CPT4	Procedure
cardiac surgery	2107338	2107338	Atrial septectomy or septostomy; open heart with cardiopulmonary bypass	CPT4	Procedure	Atrial septectomy or septostomy; open heart with cardiopulmonary bypass	CPT4	Procedure
cardiac surgery	2107339	2107339	Atrial septectomy or septostomy; open heart, with inflow occlusion	CPT4	Procedure	Atrial septectomy or septostomy; open heart, with inflow occlusion	CPT4	Procedure
cardiac surgery	2107361	2107361	Repair of transposition of the great arteries, atrial baffle procedure (eg, Mustard or Senning type) with cardiopulmonary bypass	CPT4	Procedure	Repair of transposition of the great arteries, atrial baffle procedure (eg, Mustard or Senning type) with cardiopulmonary bypass	CPT4	Procedure
cardiac surgery	2107372	2107372	Repair of transposition of the great arteries, atrial baffle procedure (eg, Mustard or Senning type) with cardiopulmonary bypass; with removal of pulmonary band	CPT4	Procedure	Repair of transposition of the great arteries, atrial baffle procedure (eg, Mustard or Senning type) with cardiopulmonary bypass; with removal of pulmonary band	CPT4	Procedure
cardiac surgery	2107373	2107373	Repair of transposition of the great arteries, atrial baffle procedure (eg, Mustard or Senning type) with cardiopulmonary bypass; with closure of ventricular septal defect	CPT4	Procedure	Repair of transposition of the great arteries, atrial baffle procedure (eg, Mustard or Senning type) with cardiopulmonary bypass; with closure of ventricular septal defect	CPT4	Procedure
cardiac surgery	2107374	2107374	Repair of transposition of the great arteries, atrial baffle procedure (eg, Mustard or Senning type) with cardiopulmonary bypass; with repair of subpulmonic obstruction	CPT4	Procedure	Repair of transposition of the great arteries, atrial baffle procedure (eg, Mustard or Senning type) with cardiopulmonary bypass; with repair of subpulmonic obstruction	CPT4	Procedure
cardiac surgery	2107375	2107375	Repair of transposition of the great arteries, aortic pulmonary artery reconstruction (eg, Jatene type)	CPT4	Procedure	Repair of transposition of the great arteries, aortic pulmonary artery reconstruction (eg, Jatene type)	CPT4	Procedure
cardiac surgery	2107376	2107376	Repair of transposition of the great arteries, aortic pulmonary artery reconstruction (eg, Jatene type); with removal of pulmonary band	CPT4	Procedure	Repair of transposition of the great arteries, aortic pulmonary artery reconstruction (eg, Jatene type); with removal of pulmonary band	CPT4	Procedure
cardiac surgery	2107377	2107377	Repair of transposition of the great arteries, aortic pulmonary artery reconstruction (eg, Jatene type); with closure of ventricular septal defect	CPT4	Procedure	Repair of transposition of the great arteries, aortic pulmonary artery reconstruction (eg, Jatene type); with closure of ventricular septal defect	CPT4	Procedure
cardiac surgery	2107378	2107378	Repair of transposition of the great arteries, aortic pulmonary artery reconstruction (eg, Jatene type); with repair of subpulmonic obstruction	CPT4	Procedure	Repair of transposition of the great arteries, aortic pulmonary artery reconstruction (eg, Jatene type); with repair of subpulmonic obstruction	CPT4	Procedure
cardiac surgery	2107382	2107382	Aortic suspension (aortopexy) for tracheal decompression (eg, for tracheomalacia) (separate procedure)	CPT4	Procedure	Aortic suspension (aortopexy) for tracheal decompression (eg, for tracheomalacia) (separate procedure)	CPT4	Procedure
cardiac surgery	2107406	2107406	Repair of hypoplastic or interrupted aortic arch using autogenous or prosthetic material; without cardiopulmonary bypass	CPT4	Procedure	Repair of hypoplastic or interrupted aortic arch using autogenous or prosthetic material; without cardiopulmonary bypass	CPT4	Procedure
cardiac surgery	2107407	2107407	Repair of hypoplastic or interrupted aortic arch using autogenous or prosthetic material; with cardiopulmonary bypass	CPT4	Procedure	Repair of hypoplastic or interrupted aortic arch using autogenous or prosthetic material; with cardiopulmonary bypass	CPT4	Procedure
cardiac surgery	2107410	2107410	Ascending aorta graft, with cardiopulmonary bypass, with aortic root replacement using valved conduit and coronary reconstruction (eg, Bentall)	CPT4	Procedure	Ascending aorta graft, with cardiopulmonary bypass, with aortic root replacement using valved conduit and coronary reconstruction (eg, Bentall)	CPT4	Procedure
cardiac surgery	2107411	2107411	Ascending aorta graft, with cardiopulmonary bypass with valve suspension, with coronary reconstruction and valve-sparing aortic root remodeling (eg, David Procedure, Yacoub Procedure)	CPT4	Procedure	Ascending aorta graft, with cardiopulmonary bypass with valve suspension, with coronary reconstruction and valve-sparing aortic root remodeling (eg, David Procedure, Yacoub Procedure)	CPT4	Procedure
cardiac surgery	2107425	2107425	Repair of thoracoabdominal aortic aneurysm with graft, with or without cardiopulmonary bypass	CPT4	Procedure	Repair of thoracoabdominal aortic aneurysm with graft, with or without cardiopulmonary bypass	CPT4	Procedure
cardiac surgery	2107453	2107453	Bypass graft, with other than vein, transcervical retropharyngeal carotid-carotid, performed in conjunction with endovascular repair of descending thoracic aorta, by neck incision	CPT4	Procedure	Bypass graft, with other than vein, transcervical retropharyngeal carotid-carotid, performed in conjunction with endovascular repair of descending thoracic aorta, by neck incision	CPT4	Procedure
cardiac surgery	2107494	2107494	Insertion of intra-aortic balloon assist device, percutaneous	CPT4	Procedure	Insertion of intra-aortic balloon assist device, percutaneous	CPT4	Procedure
cardiac surgery	2107495	2107495	Removal of intra-aortic balloon assist device, percutaneous	CPT4	Procedure	Removal of intra-aortic balloon assist device, percutaneous	CPT4	Procedure
cardiac surgery	2107496	2107496	Insertion of intra-aortic balloon assist device through the femoral artery, open approach	CPT4	Procedure	Insertion of intra-aortic balloon assist device through the femoral artery, open approach	CPT4	Procedure
cardiac surgery	2107497	2107497	Removal of intra-aortic balloon assist device including repair of femoral artery, with or without graft	CPT4	Procedure	Removal of intra-aortic balloon assist device including repair of femoral artery, with or without graft	CPT4	Procedure
cardiac surgery	2107498	2107498	Insertion of intra-aortic balloon assist device through the ascending aorta	CPT4	Procedure	Insertion of intra-aortic balloon assist device through the ascending aorta	CPT4	Procedure
cardiac surgery	2107499	2107499	Removal of intra-aortic balloon assist device from the ascending aorta, including repair of the ascending aorta, with or without graft	CPT4	Procedure	Removal of intra-aortic balloon assist device from the ascending aorta, including repair of the ascending aorta, with or without graft	CPT4	Procedure
cardiac surgery	2107516	2107516	Unlisted procedure, cardiac surgery	CPT4	Procedure	Unlisted procedure, cardiac surgery	CPT4	Procedure
cardiac surgery	2107595	2107595	Open repair of infrarenal aortic aneurysm or dissection, plus repair of associated arterial trauma, following unsuccessful endovascular repair; tube prosthesis	CPT4	Procedure	Open repair of infrarenal aortic aneurysm or dissection, plus repair of associated arterial trauma, following unsuccessful endovascular repair; tube prosthesis	CPT4	Procedure
cardiac surgery	2107596	2107596	Open repair of infrarenal aortic aneurysm or dissection, plus repair of associated arterial trauma, following unsuccessful endovascular repair; aorto-bi-iliac prosthesis	CPT4	Procedure	Open repair of infrarenal aortic aneurysm or dissection, plus repair of associated arterial trauma, following unsuccessful endovascular repair; aorto-bi-iliac prosthesis	CPT4	Procedure
cardiac surgery	2107597	2107597	Open repair of infrarenal aortic aneurysm or dissection, plus repair of associated arterial trauma, following unsuccessful endovascular repair; aorto-bifemoral prosthesis	CPT4	Procedure	Open repair of infrarenal aortic aneurysm or dissection, plus repair of associated arterial trauma, following unsuccessful endovascular repair; aorto-bifemoral prosthesis	CPT4	Procedure
cardiac surgery	2107598	2107598	Open iliac artery exposure with creation of conduit for delivery of endovascular prosthesis or for establishment of cardiopulmonary bypass, by abdominal or retroperitoneal incision, unilateral (List separately in addition to code for primary procedure)	CPT4	Procedure	Open iliac artery exposure with creation of conduit for delivery of endovascular prosthesis or for establishment of cardiopulmonary bypass, by abdominal or retroperitoneal incision, unilateral (List separately in addition to code for primary procedure)	CPT4	Procedure
cardiac surgery	2107599	2107599	Open brachial artery exposure for delivery of endovascular prosthesis, unilateral (List separately in addition to code for primary procedure)	CPT4	Procedure	Open brachial artery exposure for delivery of endovascular prosthesis, unilateral (List separately in addition to code for primary procedure)	CPT4	Procedure
cardiac surgery	2107780	2107780	Balloon dilation of narrowed or blocked aorta, open procedure	CPT4	Procedure	Balloon dilation of narrowed or blocked aorta, open procedure	CPT4	Procedure
cardiac surgery	2107836	2107836	Bypass graft, with vein; common carotid-ipsilateral internal carotid	CPT4	Procedure	Bypass graft, with vein; common carotid-ipsilateral internal carotid	CPT4	Procedure
cardiac surgery	2107837	2107837	Bypass graft, with vein; carotid-subclavian or subclavian-carotid	CPT4	Procedure	Bypass graft, with vein; carotid-subclavian or subclavian-carotid	CPT4	Procedure
cardiac surgery	2107839	2107839	Bypass graft, with vein; carotid-vertebral	CPT4	Procedure	Bypass graft, with vein; carotid-vertebral	CPT4	Procedure
cardiac surgery	2107840	2107840	Bypass graft, with vein; carotid-contralateral carotid	CPT4	Procedure	Bypass graft, with vein; carotid-contralateral carotid	CPT4	Procedure
cardiac surgery	2107852	2107852	Bypass graft, with vein; carotid-brachial	CPT4	Procedure	Bypass graft, with vein; carotid-brachial	CPT4	Procedure
cardiac surgery	2107853	2107853	Bypass graft, with vein; subclavian-subclavian	CPT4	Procedure	Bypass graft, with vein; subclavian-subclavian	CPT4	Procedure
cardiac surgery	2107854	2107854	Bypass graft, with vein; subclavian-brachial	CPT4	Procedure	Bypass graft, with vein; subclavian-brachial	CPT4	Procedure
cardiac surgery	2107855	2107855	Bypass graft, with vein; subclavian-vertebral	CPT4	Procedure	Bypass graft, with vein; subclavian-vertebral	CPT4	Procedure
cardiac surgery	2107856	2107856	Bypass graft, with vein; subclavian-axillary	CPT4	Procedure	Bypass graft, with vein; subclavian-axillary	CPT4	Procedure
cardiac surgery	2107857	2107857	Bypass graft, with vein; axillary-axillary	CPT4	Procedure	Bypass graft, with vein; axillary-axillary	CPT4	Procedure
cardiac surgery	2107859	2107859	Bypass graft, with vein; axillary-femoral	CPT4	Procedure	Bypass graft, with vein; axillary-femoral	CPT4	Procedure
cardiac surgery	2107860	2107860	Bypass graft, with vein; axillary-brachial	CPT4	Procedure	Bypass graft, with vein; axillary-brachial	CPT4	Procedure
cardiac surgery	2107861	2107861	Bypass graft, with vein; brachial-ulnar or -radial	CPT4	Procedure	Bypass graft, with vein; brachial-ulnar or -radial	CPT4	Procedure
cardiac surgery	2107872	2107872	Bypass graft, with vein; brachial-brachial	CPT4	Procedure	Bypass graft, with vein; brachial-brachial	CPT4	Procedure
cardiac surgery	2107873	2107873	Bypass graft, with vein; aortosubclavian, aortoinnominate, or aortocarotid	CPT4	Procedure	Bypass graft, with vein; aortosubclavian, aortoinnominate, or aortocarotid	CPT4	Procedure
cardiac surgery	2107875	2107875	Bypass graft, with vein; aortoceliac or aortomesenteric	CPT4	Procedure	Bypass graft, with vein; aortoceliac or aortomesenteric	CPT4	Procedure
